# image table
# NumData 28
#   gid,                                              gname,    aif
      1,   02__Station10__Camera1__2012-9-9__4-54-54(0).JPG,  False
      2,   02__Station10__Camera1__2012-9-9__4-54-56(1).JPG,  False
      3,   02__Station10__Camera1__2012-9-9__4-54-56(2).JPG,  False
      4,  02__Station12__Camera2__2012-5-4__22-22-36(6).JPG,  False
      5,  02__Station12__Camera2__2012-5-4__22-22-36(7).JPG,  False
      6,  02__Station12__Camera2__2012-5-4__22-22-36(8).JPG,  False
      7,  02__Station12__Camera2__2012-5-4__22-22-38(9).JPG,  False
      8,  02__Station12__Camera2__2012-5-4__22-22-40(0).JPG,  False
      9,  02__Station12__Camera2__2012-5-4__22-22-50(0).JPG,  False
     10,  02__Station12__Camera2__2012-5-4__22-22-50(1).JPG,  False
     11,  02__Station12__Camera2__2012-5-4__22-22-52(2).JPG,  False
     12,   02__Station12__Camera2__2012-5-4__22-23-2(3).JPG,  False
     13,   02__Station12__Camera2__2012-5-4__22-23-2(4).JPG,  False
     14,   02__Station12__Camera2__2012-5-4__22-23-4(5).JPG,  False
     15,   02__Station12__Camera2__2012-5-4__22-23-6(6).JPG,  False
     16,   02__Station12__Camera2__2012-5-4__22-23-6(7).JPG,  False
     17,  02__Station13__Camera1__2018-1-31__8-23-50(0).JPG,  False
     18,  02__Station13__Camera1__2018-1-31__8-23-50(1).JPG,  False
     19,  02__Station13__Camera1__2018-1-31__8-23-50(2).JPG,  False
     20,  02__Station13__Camera1__2018-1-31__8-23-50(3).JPG,  False
     21,  02__Station13__Camera1__2018-1-31__8-23-50(4).JPG,  False
     22,  02__Station13__Camera1__2018-1-31__8-23-50(5).JPG,  False
     23,  02__Station13__Camera1__2018-1-31__8-23-50(6).JPG,  False
     24,  02__Station13__Camera1__2018-1-31__8-23-50(7).JPG,  False
     25,  02__Station13__Camera1__2018-1-31__8-23-50(8).JPG,  False
     26,  02__Station13__Camera1__2018-1-31__8-23-50(9).JPG,  False
     27,    02__Station22__Camera1__2012-5-4__2-4-30(0).JPG,  False
     28,    02__Station22__Camera1__2012-5-4__2-4-48(9).JPG,  False
